run_id,episode,train_reward,eval_avg_reward,eval_avg_energy,eval_avg_comfort_violation,epsilon,learning_rate,gamma,epsilon_decay
qlearning_v2,1,-702.1259,,,,0.99,0.2,0.95,0.99
qlearning_v2,2,-705.6211,,,,0.9801,0.2,0.95,0.99
qlearning_v2,3,-798.7089,,,,0.970299,0.2,0.95,0.99
qlearning_v2,4,-663.2592,,,,0.960596,0.2,0.95,0.99
qlearning_v2,5,-995.4401,,,,0.95099,0.2,0.95,0.99
qlearning_v2,6,-751.7434,,,,0.94148,0.2,0.95,0.99
qlearning_v2,7,-982.0515,,,,0.932065,0.2,0.95,0.99
qlearning_v2,8,-672.8043,,,,0.922745,0.2,0.95,0.99
qlearning_v2,9,-763.7831,,,,0.913517,0.2,0.95,0.99
qlearning_v2,10,-829.2324,,,,0.904382,0.2,0.95,0.99
qlearning_v2,11,-961.5276,,,,0.895338,0.2,0.95,0.99
qlearning_v2,12,-795.1661,,,,0.886385,0.2,0.95,0.99
qlearning_v2,13,-759.8895,,,,0.877521,0.2,0.95,0.99
qlearning_v2,14,-639.2311,,,,0.868746,0.2,0.95,0.99
qlearning_v2,15,-884.709,,,,0.860058,0.2,0.95,0.99
qlearning_v2,16,-796.3497,,,,0.851458,0.2,0.95,0.99
qlearning_v2,17,-940.9612,,,,0.842943,0.2,0.95,0.99
qlearning_v2,18,-869.4639,,,,0.834514,0.2,0.95,0.99
qlearning_v2,19,-789.8203,,,,0.826169,0.2,0.95,0.99
qlearning_v2,20,-760.6783,,,,0.817907,0.2,0.95,0.99
qlearning_v2,21,-882.2854,,,,0.809728,0.2,0.95,0.99
qlearning_v2,22,-849.327,,,,0.801631,0.2,0.95,0.99
qlearning_v2,23,-848.0362,,,,0.793614,0.2,0.95,0.99
qlearning_v2,24,-857.8713,,,,0.785678,0.2,0.95,0.99
qlearning_v2,25,-790.1122,,,,0.777821,0.2,0.95,0.99
qlearning_v2,26,-625.2077,,,,0.770043,0.2,0.95,0.99
qlearning_v2,27,-882.7777,,,,0.762343,0.2,0.95,0.99
qlearning_v2,28,-694.49,,,,0.754719,0.2,0.95,0.99
qlearning_v2,29,-866.2287,,,,0.747172,0.2,0.95,0.99
qlearning_v2,30,-653.2728,,,,0.7397,0.2,0.95,0.99
qlearning_v2,31,-682.8065,,,,0.732303,0.2,0.95,0.99
qlearning_v2,32,-831.9777,,,,0.72498,0.2,0.95,0.99
qlearning_v2,33,-839.1871,,,,0.717731,0.2,0.95,0.99
qlearning_v2,34,-959.0796,,,,0.710553,0.2,0.95,0.99
qlearning_v2,35,-659.186,,,,0.703448,0.2,0.95,0.99
qlearning_v2,36,-893.4156,,,,0.696413,0.2,0.95,0.99
qlearning_v2,37,-921.766,,,,0.689449,0.2,0.95,0.99
qlearning_v2,38,-677.6476,,,,0.682555,0.2,0.95,0.99
qlearning_v2,39,-910.1117,,,,0.675729,0.2,0.95,0.99
qlearning_v2,40,-795.3754,,,,0.668972,0.2,0.95,0.99
qlearning_v2,41,-1045.0322,,,,0.662282,0.2,0.95,0.99
qlearning_v2,42,-1028.8593,,,,0.655659,0.2,0.95,0.99
qlearning_v2,43,-772.1293,,,,0.649103,0.2,0.95,0.99
qlearning_v2,44,-800.8961,,,,0.642612,0.2,0.95,0.99
qlearning_v2,45,-932.3078,,,,0.636185,0.2,0.95,0.99
qlearning_v2,46,-673.7058,,,,0.629824,0.2,0.95,0.99
qlearning_v2,47,-783.0175,,,,0.623525,0.2,0.95,0.99
qlearning_v2,48,-913.0295,,,,0.61729,0.2,0.95,0.99
qlearning_v2,49,-919.8169,,,,0.611117,0.2,0.95,0.99
qlearning_v2,50,-762.1792,-915.242,115.65,710.717,0.605006,0.2,0.95,0.99
qlearning_v2,51,-847.121,,,,0.598956,0.2,0.95,0.99
qlearning_v2,52,-672.3108,,,,0.592966,0.2,0.95,0.99
qlearning_v2,53,-869.2682,,,,0.587037,0.2,0.95,0.99
qlearning_v2,54,-771.0302,,,,0.581166,0.2,0.95,0.99
qlearning_v2,55,-751.7147,,,,0.575355,0.2,0.95,0.99
qlearning_v2,56,-928.4572,,,,0.569601,0.2,0.95,0.99
qlearning_v2,57,-776.7546,,,,0.563905,0.2,0.95,0.99
qlearning_v2,58,-810.0911,,,,0.558266,0.2,0.95,0.99
qlearning_v2,59,-732.6321,,,,0.552683,0.2,0.95,0.99
qlearning_v2,60,-750.0885,,,,0.547157,0.2,0.95,0.99
qlearning_v2,61,-898.2872,,,,0.541685,0.2,0.95,0.99
qlearning_v2,62,-848.8802,,,,0.536268,0.2,0.95,0.99
qlearning_v2,63,-914.0009,,,,0.530906,0.2,0.95,0.99
qlearning_v2,64,-900.5509,,,,0.525596,0.2,0.95,0.99
qlearning_v2,65,-926.0068,,,,0.520341,0.2,0.95,0.99
qlearning_v2,66,-874.0574,,,,0.515137,0.2,0.95,0.99
qlearning_v2,67,-813.9737,,,,0.509986,0.2,0.95,0.99
qlearning_v2,68,-998.9814,,,,0.504886,0.2,0.95,0.99
qlearning_v2,69,-1163.6693,,,,0.499837,0.2,0.95,0.99
qlearning_v2,70,-803.0717,,,,0.494839,0.2,0.95,0.99
qlearning_v2,71,-835.7037,,,,0.48989,0.2,0.95,0.99
qlearning_v2,72,-779.6399,,,,0.484991,0.2,0.95,0.99
qlearning_v2,73,-730.4199,,,,0.480141,0.2,0.95,0.99
qlearning_v2,74,-660.1365,,,,0.47534,0.2,0.95,0.99
qlearning_v2,75,-573.4569,,,,0.470587,0.2,0.95,0.99
qlearning_v2,76,-829.4478,,,,0.465881,0.2,0.95,0.99
qlearning_v2,77,-879.8467,,,,0.461222,0.2,0.95,0.99
qlearning_v2,78,-893.1501,,,,0.45661,0.2,0.95,0.99
qlearning_v2,79,-606.5969,,,,0.452044,0.2,0.95,0.99
qlearning_v2,80,-689.1317,,,,0.447523,0.2,0.95,0.99
qlearning_v2,81,-746.2323,,,,0.443048,0.2,0.95,0.99
qlearning_v2,82,-648.6236,,,,0.438618,0.2,0.95,0.99
qlearning_v2,83,-738.654,,,,0.434231,0.2,0.95,0.99
qlearning_v2,84,-662.3597,,,,0.429889,0.2,0.95,0.99
qlearning_v2,85,-824.1709,,,,0.42559,0.2,0.95,0.99
qlearning_v2,86,-730.9693,,,,0.421334,0.2,0.95,0.99
qlearning_v2,87,-566.0254,,,,0.417121,0.2,0.95,0.99
qlearning_v2,88,-544.5581,,,,0.41295,0.2,0.95,0.99
qlearning_v2,89,-780.5245,,,,0.40882,0.2,0.95,0.99
qlearning_v2,90,-688.8933,,,,0.404732,0.2,0.95,0.99
qlearning_v2,91,-718.3543,,,,0.400685,0.2,0.95,0.99
qlearning_v2,92,-752.562,,,,0.396678,0.2,0.95,0.99
qlearning_v2,93,-888.6525,,,,0.392711,0.2,0.95,0.99
qlearning_v2,94,-785.0817,,,,0.388784,0.2,0.95,0.99
qlearning_v2,95,-884.8008,,,,0.384896,0.2,0.95,0.99
qlearning_v2,96,-627.0217,,,,0.381047,0.2,0.95,0.99
qlearning_v2,97,-833.674,,,,0.377237,0.2,0.95,0.99
qlearning_v2,98,-731.2034,,,,0.373464,0.2,0.95,0.99
qlearning_v2,99,-692.2323,,,,0.36973,0.2,0.95,0.99
qlearning_v2,100,-727.8085,-755.0375,107.5,588.7375,0.366032,0.2,0.95,0.99
qlearning_v2,101,-822.7564,,,,0.362372,0.2,0.95,0.99
qlearning_v2,102,-885.3145,,,,0.358748,0.2,0.95,0.99
qlearning_v2,103,-863.3586,,,,0.355161,0.2,0.95,0.99
qlearning_v2,104,-792.7574,,,,0.351609,0.2,0.95,0.99
qlearning_v2,105,-804.9558,,,,0.348093,0.2,0.95,0.99
qlearning_v2,106,-851.5078,,,,0.344612,0.2,0.95,0.99
qlearning_v2,107,-658.8624,,,,0.341166,0.2,0.95,0.99
qlearning_v2,108,-872.9974,,,,0.337754,0.2,0.95,0.99
qlearning_v2,109,-725.943,,,,0.334377,0.2,0.95,0.99
qlearning_v2,110,-652.099,,,,0.331033,0.2,0.95,0.99
qlearning_v2,111,-716.0266,,,,0.327723,0.2,0.95,0.99
qlearning_v2,112,-821.5526,,,,0.324446,0.2,0.95,0.99
qlearning_v2,113,-675.53,,,,0.321201,0.2,0.95,0.99
qlearning_v2,114,-844.8951,,,,0.317989,0.2,0.95,0.99
qlearning_v2,115,-885.027,,,,0.314809,0.2,0.95,0.99
qlearning_v2,116,-691.0217,,,,0.311661,0.2,0.95,0.99
qlearning_v2,117,-722.8652,,,,0.308544,0.2,0.95,0.99
qlearning_v2,118,-678.7777,,,,0.305459,0.2,0.95,0.99
qlearning_v2,119,-768.3984,,,,0.302404,0.2,0.95,0.99
qlearning_v2,120,-778.3963,,,,0.29938,0.2,0.95,0.99
qlearning_v2,121,-737.4168,,,,0.296387,0.2,0.95,0.99
qlearning_v2,122,-610.5605,,,,0.293423,0.2,0.95,0.99
qlearning_v2,123,-819.0685,,,,0.290488,0.2,0.95,0.99
qlearning_v2,124,-697.1976,,,,0.287584,0.2,0.95,0.99
qlearning_v2,125,-747.5011,,,,0.284708,0.2,0.95,0.99
qlearning_v2,126,-748.0472,,,,0.281861,0.2,0.95,0.99
qlearning_v2,127,-883.9545,,,,0.279042,0.2,0.95,0.99
qlearning_v2,128,-685.1156,,,,0.276252,0.2,0.95,0.99
qlearning_v2,129,-720.9766,,,,0.273489,0.2,0.95,0.99
qlearning_v2,130,-789.213,,,,0.270754,0.2,0.95,0.99
qlearning_v2,131,-668.1232,,,,0.268047,0.2,0.95,0.99
qlearning_v2,132,-875.3098,,,,0.265366,0.2,0.95,0.99
qlearning_v2,133,-683.9811,,,,0.262713,0.2,0.95,0.99
qlearning_v2,134,-695.8173,,,,0.260085,0.2,0.95,0.99
qlearning_v2,135,-679.1057,,,,0.257485,0.2,0.95,0.99
qlearning_v2,136,-636.9275,,,,0.25491,0.2,0.95,0.99
qlearning_v2,137,-637.5782,,,,0.252361,0.2,0.95,0.99
qlearning_v2,138,-678.0649,,,,0.249837,0.2,0.95,0.99
qlearning_v2,139,-807.1186,,,,0.247339,0.2,0.95,0.99
qlearning_v2,140,-677.5806,,,,0.244865,0.2,0.95,0.99
qlearning_v2,141,-698.3018,,,,0.242417,0.2,0.95,0.99
qlearning_v2,142,-732.7533,,,,0.239992,0.2,0.95,0.99
qlearning_v2,143,-777.4086,,,,0.237593,0.2,0.95,0.99
qlearning_v2,144,-614.0722,,,,0.235217,0.2,0.95,0.99
qlearning_v2,145,-759.3689,,,,0.232864,0.2,0.95,0.99
qlearning_v2,146,-602.2938,,,,0.230536,0.2,0.95,0.99
qlearning_v2,147,-706.8027,,,,0.22823,0.2,0.95,0.99
qlearning_v2,148,-742.5864,,,,0.225948,0.2,0.95,0.99
qlearning_v2,149,-599.6515,,,,0.223689,0.2,0.95,0.99
qlearning_v2,150,-549.2996,-560.343,106.65,409.443,0.221452,0.2,0.95,0.99
qlearning_v2,151,-682.1734,,,,0.219237,0.2,0.95,0.99
qlearning_v2,152,-571.185,,,,0.217045,0.2,0.95,0.99
qlearning_v2,153,-926.423,,,,0.214874,0.2,0.95,0.99
qlearning_v2,154,-842.523,,,,0.212726,0.2,0.95,0.99
qlearning_v2,155,-738.653,,,,0.210598,0.2,0.95,0.99
qlearning_v2,156,-805.7736,,,,0.208492,0.2,0.95,0.99
qlearning_v2,157,-650.7495,,,,0.206408,0.2,0.95,0.99
qlearning_v2,158,-645.7681,,,,0.204343,0.2,0.95,0.99
qlearning_v2,159,-885.9461,,,,0.2023,0.2,0.95,0.99
qlearning_v2,160,-727.6278,,,,0.200277,0.2,0.95,0.99
qlearning_v2,161,-660.2479,,,,0.198274,0.2,0.95,0.99
qlearning_v2,162,-741.7433,,,,0.196292,0.2,0.95,0.99
qlearning_v2,163,-667.1454,,,,0.194329,0.2,0.95,0.99
qlearning_v2,164,-599.7682,,,,0.192385,0.2,0.95,0.99
qlearning_v2,165,-843.5159,,,,0.190461,0.2,0.95,0.99
qlearning_v2,166,-742.2923,,,,0.188557,0.2,0.95,0.99
